Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Andriy David,M,SBD,Single-ply,22.5,20-23,19-23,Juniors,81.2,82.5,250.0,270.0,280.0,,280.0,170.0,182.5,185.0,,185.0,250.0,260.0,265.0,,265.0,730.0,3,499.01,493.77,475.45,85.4,Yes,,,UkrainePF,IPF,11/4/2008,Ukraine,,Sevastopol,Ukrainian Junior Powerlifting Championships
Mike Arbogast,M,SBD,Wraps,,,,Open,89.9,90,,,,,242.67,,,,,154.22,,,,,240.4,637.3,1,412.31,407.08,390.16,84.77,,,,SPF,,14/4/2018,USA,,,April Throwdown
Mariappan Perumal,M,B,Raw,53.0,50-54,50-59,Open,73.75,75,,,,,,170.0,-175.0,-175.0,,170.0,,,,,,170.0,5,123.29,122.58,118.52,90.82,Yes,Malaysia,,WPPO,,12/3/2011,UAE,,Dubai,World Cup
Andrey Galfinger,M,B,Raw,,,,Pro Open,82.0,82.5,,,,,,,,,,140.0,,,,,,140.0,2,95.16,94.13,90.6,70.76,,,,WPC-RUS,WPC,22/12/2017,Russia,,,IK-14 Bench Tournament
Kaylee Cochran,F,SBD,Raw,15.5,16-17,14-18,Open,42.5,44,-52.16,52.16,54.43,,54.43,29.48,-31.75,-31.75,,29.48,86.18,90.72,-92.99,,90.72,174.63,4,247.08,251.51,226.54,53.89,,USA,,MHSPLA,,12/3/2016,USA,MI,Norton Shores,State Championships
Asbjørn Randen,M,SBD,Single-ply,27.5,24-34,24-39,Open,112.0,125,,,,,310.0,,,,,165.0,,,,,300.0,775.0,3,455.94,453.64,433.82,77.01,Yes,Norway,,NSF,IPF,8/12/2001,Norway,,Oslo,Lagfinalen
Marko Santala,M,SBD,Raw,55.5,55-59,50-59,Over 50,77.84,83,115.0,-122.5,122.5,,122.5,70.0,75.0,-80.0,,75.0,130.0,137.5,142.5,,142.5,340.0,4,238.33,236.25,227.91,48.63,Yes,,,SVNL,IPF,19/11/2021,Finland,,Pornainen,Masters - klassisen voimanoston SM-kilpailu
Aaron Quigley,M,SBD,Raw,35.0,35-39,24-39,MR-O,81.4,83,,,,,135.0,,,,,127.5,,,,,185.0,447.5,4,305.47,302.23,290.98,62.56,Yes,USA,,USAPL,IPF,25/1/2015,USA,NY,,Northeast Iron Beast Winter Classic II
Shakhrukh Igamov,M,SBD,Raw,36.5,35-39,24-39,Amateur Open,98.3,100,200.0,215.0,-225.0,,215.0,-150.0,-150.0,-150.0,,,-240.0,,,,,,DQ,,,,,Yes,Russia,,WPC-RUS,WPC,30/7/2015,Russia,MOW,Moscow,Double Powerlifting Tournament
Maraisa Proença Moral,F,D,Raw,29.0,24-34,24-39,O,60.9,67.5,,,,,,,,,,,85.0,95.0,102.5,,102.5,102.5,2,112.57,112.97,99.8,,,Brazil,,GPC,GPC,30/9/2014,Argentina,,Puerto Iguazú,World Championships
Baileigh Hevron,F,SBD,Single-ply,,18-19,,Girls,136.08,117.7+,,,,,136.08,,,,,52.16,,,,,149.69,337.93,3,263.36,264.16,222.62,46.67,Yes,,,THSWPA,,12/1/2018,USA,TX,Sulphur Springs Texas,Sulphur Springs
Vladimir Urazov,M,D,Single-ply,49.0,45-49,,Masters 45-49,88.1,90,,,,,,,,,,,240.0,250.0,,,250.0,250.0,2,163.42,161.38,154.81,,,Russia,,GPA,GPA,8/12/2016,Russia,MOW,Dolgoprudny,World Championships
Aleksandr Shabrov,M,B,Raw,20.0,20-23,19-23,Amateur Juniors 20-23,78.2,82.5,,,,,,115.0,120.0,-125.0,,120.0,,,,,,120.0,3,83.88,83.13,80.18,62.16,Yes,Russia,,WPC-RUS,WPC,27/8/2011,Russia,MOW,Moscow,Kremlin Press Moscow Bench Press Tournament
Jordan Alexander #2,M,B,Raw,,16-17,,Class 1A,70.22,76.6,,,,,,95.25,99.79,-102.06,,99.79,,,,,,99.79,3,74.8,74.6,72.29,54.73,Yes,,,FHSAA,,10/3/2017,USA,FL,Fort White,Class 1A District 5 Meet
Katelynn Hale,F,SBD,Single-ply,,,,Girls,66.32,67.3,,,,,115.67,,,,,63.5,,,,,111.13,290.3,5,302.79,300.09,264.8,50.95,Yes,,,THSWPA,,30/1/2020,USA,TX,Hico,Hico Invitational
Rinat Akhmetov,M,B,Raw,31.5,24-34,24-39,Amateur Open,66.3,67.5,,,,,,115.0,-125.0,-125.0,,115.0,,,,,,115.0,2,89.8,89.96,87.4,65.07,Yes,Russia,,WPC,WPC,2/7/2016,Russia,CHE,Chelyabinsk,Asian Championships
Mikhail Zuev,M,B,Raw,28.5,24-34,24-39,Amateur Open,78.7,82.5,,,,,,125.0,-130.0,-130.0,,125.0,,,,,,125.0,4,87.04,86.24,83.15,64.54,Yes,Russia,,WPC-RUS,WPC,1/8/2014,Russia,MOW,Moscow,Moscow Cup
Tomáš Lacko,M,SBD,Single-ply,19.5,20-23,19-23,Open,73.5,75,,,,,230.0,,,,,142.5,,,,,222.5,595.0,2,432.48,430.06,415.9,74.06,Yes,Czechia,,CSST,IPF,26/10/2002,Czechia,,Kašava,Extraliga ČR II
Illea Lugo,F,SBD,Single-ply,,18-19,14-18,Girls,80.69,82.3,,,,,197.31,,,,,88.45,,,,,145.15,430.91,6,404.3,392.42,343.98,68.88,Yes,,,THSWPA,,17/3/2018,USA,TX,Waco,Girls State Meet
Jason Maginness,M,SBD,Raw,29.5,24-34,24-39,MR-O,85.0,93,165.0,185.0,-195.0,,185.0,110.0,120.0,125.0,,125.0,222.5,237.5,-247.5,,237.5,547.5,7,364.77,360.44,346.34,74.89,Yes,USA,VA,USAPL,IPF,11/9/2021,USA,WI,,Stars And Stripes Open
Stefano Tiraboschi,M,SBD,Raw,43.5,40-44,40-49,Master I,79.59,83,110.0,117.5,-125.0,,117.5,75.0,80.0,85.0,,85.0,140.0,150.0,-160.0,,150.0,352.5,15,243.8,241.44,232.68,49.85,Yes,,,FIPL,IPF,17/5/2019,Italy,,San Zenone al Lambro,2° Campionato Classic Master di Powerlifting
Jiuhua Chen,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,64.8,66,110.0,117.5,-122.5,,117.5,-92.5,95.0,-102.5,,95.0,130.0,135.0,140.0,,140.0,352.5,2,280.01,281.03,273.32,55.49,Yes,USA,MO,USAPL,IPF,11/11/2018,USA,MO,,Missouri Collegiate Championships
木村 淳,M,B,Raw,47.5,45-49,40-49,Masters 1,65.25,66,,,,,,112.5,122.5,132.5,,132.5,,,,,,132.5,9,104.71,105.03,102.11,75.63,Yes,,,JPA,IPF,30/11/2019,Japan,,Akashi,Japanese Masters Juniors & Sub-Juniors Classic Bench Press Championships
Thomas Bennett,M,SBD,Raw,,18-19,14-18,M-C-U18,70.75,74,-165.0,-170.0,-170.0,,,-105.0,105.0,115.0,,115.0,180.0,190.0,200.0,,200.0,,DQ,,,,,Yes,USA,,EPA,IPF,22/8/2021,England,SE,Camberley,South East Summer Divisional
Richárd Németh,M,BD,Raw,22.0,20-23,19-23,Juniors 20-23,98.3,100,,,,,,170.0,175.0,177.5,,177.5,250.0,265.0,-270.0,,265.0,442.5,1,274.42,271.19,259.11,,,Hungary,,GPA,GPA,20/10/2016,Hungary,,Szerencs,European Cup
Vidar Alexander Ringvold,M,SBD,Single-ply,47.5,45-49,40-49,Masters 40-49,116.1,125,,,,,220.0,,,,,200.0,,,,,220.0,640.0,1,371.71,370.94,355.19,62.66,Yes,Norway,,NSF,IPF,8/3/2003,Norway,,Brumunddal,Seriestevne
Lexi Vestal,F,SBD,Single-ply,,,,Girls,66.95,67.3,,,,,113.4,,,,,61.23,,,,,108.86,283.5,3,294.07,291.05,256.79,49.5,Yes,,,THSWPA,,25/1/2020,USA,TX,Rusk,Rusk meet
Vladislav Averyanov,M,B,Raw,22.0,20-23,19-23,Pro Juniors 20-23,88.9,90,,,,,,-180.0,-180.0,,,,,,,,,,DQ,,,,,,Russia,,WRPF,WRPF,2/11/2018,Russia,SAM,Togliatti,Invincible Power Tournament
Andrew Hodgson,M,SBD,Single-ply,,,,M-E-Open,122.1,120+,200.0,210.0,215.0,,215.0,160.0,170.0,-175.0,,170.0,230.0,250.0,,,250.0,635.0,1,362.61,363.65,348.43,60.97,Yes,England,EM,EPA,IPF,11/12/2015,England,,Letchworth,East Midlands Senior Powerlifting Championships
Violet Gonzalez,F,SBD,Single-ply,,,,Girls,69.49,75,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,27/1/2018,USA,TX,Tuloso-Midway Middle School,Pride of South Texas Powerlifting Meet
Vladislav Aristov,M,D,Raw,25.0,24-34,24-39,Open,81.2,82.5,,,,,,,,,,,210.0,220.0,225.0,,225.0,225.0,2,153.81,152.19,146.54,,Yes,Kazakhstan,,IPL,IPL,16/4/2021,Russia,MOW,Dolgoprudny,Drug Tested European Championships
Vadim Pronin,M,B,Raw,34.5,24-34,24-39,Amateur Open,107.1,110,,,,,,150.0,160.0,-167.5,,160.0,,,,,,160.0,5,95.74,94.96,90.7,70.99,Yes,Russia,,WPC-RUS,WPC,26/4/2014,Russia,MOW,Moscow,Kremlin Bench
Meagan Gearman,F,SBD,Single-ply,,,,Girls,59.1,60.1,,,,,79.38,,,,,38.56,,,,,95.25,213.19,5,238.61,240.49,212.53,39.96,Yes,,,THSWPA,,8/2/2018,USA,TX,Frisco Liberty,Redhawk Invitational
Nadeige Dionne-Welch,F,SBD,Raw,,,19-23,Juniors,61.8,63,,,,,90.0,,,,,47.5,,,,,100.0,237.5,2,258.47,258.83,228.6,52.62,Yes,Canada,SK,CPU,IPF,10/12/2016,Canada,SK,Moose Jaw,Last Chance Open
Furkat Shafiev,M,B,Raw,44.0,40-44,40-49,Masters 40-49,81.2,82.5,,,,,,85.0,95.0,-100.0,,95.0,,,,,,95.0,2,64.94,64.26,61.87,48.26,,Kazakhstan,,WRPF-KAZ,WRPF,29/9/2017,Kazakhstan,,Almaty,Kazakhstan Championships
Maricela Compean,F,SBD,Single-ply,,18-19,,Girls,99.16,100,,,,,195.04,,,,,97.52,,,,,190.51,483.08,2,413.6,403.21,346.76,71.7,Yes,,,THSWPA,,22/2/2020,USA,TX,Forney Indoor,Forney Jackrabbit Classic
Peter Vong,M,SBD,Raw,15.5,16-17,14-18,MR-T2,57.2,59,142.5,-152.5,152.5,,152.5,82.5,87.5,-92.5,,87.5,170.0,185.0,-190.0,,185.0,425.0,1,373.44,379.04,371.16,71.5,Yes,USA,WA,USAPL,IPF,22/5/2021,USA,WA,,Unleash The Beast
Tomohisa Murano,M,SBD,Single-ply,,,,Open,77.9,83,205.0,215.0,225.0,,225.0,180.0,190.0,197.5,,197.5,190.0,200.0,210.0,,210.0,632.5,3,443.15,439.27,423.75,75.88,Yes,Japan,,JPA,IPF,13/7/2014,Japan,,Saitama,Japanese Student's Powerlifting Championships
Dariusz Kazuś,M,SBD,Raw,,,,Juniors Under 16,57.2,59,80.0,90.0,95.0,,95.0,42.5,47.5,50.0,,50.0,115.0,122.5,130.0,,130.0,275.0,3,241.63,245.26,240.16,46.27,Yes,Poland,,PZKFiTS,IPF,20/5/2014,Poland,,Kielce,Polish Under 18 & Under 16 Classic Powerlifting Championships
Ryan Austin,M,SBD,Raw,27.5,24-34,24-39,MR-O,94.3,105,180.0,190.0,197.5,,197.5,155.0,162.5,167.5,,167.5,220.0,230.0,235.0,,235.0,600.0,5,379.24,374.48,358.23,77.96,Yes,USA,VA,USAPL,IPF,18/1/2020,USA,VA,,Virginia Winter Open
Martin Heindl,M,B,Multi-ply,46.5,45-49,40-49,M2,68.4,75,,,,,,125.0,-130.5,131.5,,131.5,,,,,,131.5,1,100.39,100.33,97.33,55.04,,Austria,,GPC,GPC,17/5/2002,Germany,,Schmölln,European Championships
Joanna Linna,F,SBD,Single-ply,39.5,35-39,40-49,Over 40,83.6,84,80.0,-120.0,-120.0,,80.0,118.0,120.0,122.5,,122.5,100.0,,,,100.0,302.5,1,278.98,270.4,236.47,47.66,Yes,Finland,,SVNL,IPF,15/11/2014,Finland,,Kokkola,Kansallinen vn-kisa
Tatyana Dzhanpoladova,F,B,Raw,29.0,24-34,24-39,Amateur Open,55.7,56,,,,,,65.0,70.0,72.5,,72.5,,,,,,72.5,1,84.34,85.66,75.78,65.58,Yes,Russia,,WPC-RUS,WPC,25/7/2014,Russia,KDA,Krasnodar,Svetogor Pro
Vitaliy Ryabykh,M,SBD,Raw,22.0,20-23,19-23,Pro Juniors 20-23,99.2,100,195.0,-205.0,205.0,,205.0,-160.0,165.0,-170.0,,165.0,230.0,245.0,-260.0,,245.0,615.0,3,379.87,375.5,358.69,77.99,,Russia,,WPC-RUS,WPC,16/10/2014,Russia,MOW,Moscow,Moscow PROmovement Championships
William Hosken,M,SBD,Raw,79.0,75-79,70-999,M_MR_8_AAPF,74.3,75,80.0,85.0,87.5,,87.5,55.0,60.0,65.0,,65.0,125.0,130.0,132.5,,132.5,285.0,1,205.7,204.42,197.6,41.75,Yes,USA,,APF,WPC,25/3/2017,USA,IL,,IL State Meet
Rémy Krayzel,M,B,Multi-ply,63.5,60-64,60-69,M60-64,86.1,90,,,,,,-180.0,180.0,,,180.0,,,,,,180.0,1,119.1,117.65,112.98,62.47,,Czechia,,WUAP-SVK,WUAP,23/3/2019,Slovakia,,Liptovský Hrádok,Slovakian Championships
Viktor Makarov,M,SBD,Raw,25.0,24-34,24-39,Open,67.1,67.5,140.0,-150.0,150.0,,150.0,100.0,105.0,,,105.0,200.0,210.0,-222.5,,210.0,465.0,1,359.95,360.24,349.77,71.86,Yes,Russia,,RPU,,19/5/2018,Russia,KYA,Krasnoyarsk,Call of Siberia
Brett MacDonald,M,SBD,Raw,,,,Sub-Juniors,84.0,93,,,,,100.0,,,,,80.0,,,,,142.5,322.5,1,216.27,213.76,205.51,44.37,Yes,Canada,SK,CPU,IPF,29/10/2011,Canada,SK,Saskatoon,Saskatchewan Provincials
Kate Payette,F,SBD,Raw,,,,Open,70.1,72,,,,,117.5,,,,,80.0,,,,,145.0,342.5,23,346.08,340.4,300.05,70.34,Yes,Canada,SK,CPU,IPF,4/3/2019,Canada,ON,Ottawa,National Championship
Tatyana Dorokhina,F,D,Raw,32.0,24-34,24-39,F_OR_WPC,66.7,67.5,,,,,,,,,,,140.0,-150.0,150.0,,150.0,150.0,1,155.93,154.41,136.24,,,,,WPC,WPC,12/4/2019,Russia,ROS,Rostov-on-Don,European Cup
Levan Tsitsishvili,M,B,Raw,,20-23,,JR,90.0,90,,,,,,,,,,151.95,,,,,,151.95,1,98.25,97.0,92.97,73.27,Yes,Georgia,,WNPF,,6/11/2010,USA,,,World Tournament of Champions
Meghan Ellis,F,SBD,Raw,31.5,24-34,24-39,FR-O,86.8,84+,-137.5,-137.5,-137.5,,,70.0,75.0,-82.5,,75.0,145.0,150.0,-160.0,,150.0,,DQ,,,,,Yes,USA,HI,USAPL,IPF,30/6/2018,USA,HI,,Hawaii State Championship
池本 麻衣,F,SBD,Raw,25.5,24-34,24-39,Open,46.6,47,-80.0,80.0,85.0,,85.0,42.5,45.0,47.5,,47.5,105.0,-110.0,-110.0,,105.0,237.5,7,313.24,321.38,286.68,66.4,Yes,,,JPA,IPF,9/2/2019,Japan,,Tsukuba,Japanese Classic Powerlifting Championships
Joe Laski,M,SBD,Multi-ply,23.0,20-23,19-23,M_JEM_APF,133.36,140,330.0,345.0,350.0,,350.0,-255.0,-260.0,272.5,,272.5,260.0,272.5,285.0,,285.0,907.5,1,504.31,511.01,487.36,84.46,,,,APF,WPC,8/9/2008,USA,NE,Omaha,Big Iron Open
Dayanara Garcia-Urquiza,F,SBD,Single-ply,,,,Girls,55.52,56,,,,,70.31,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,19/1/2019,USA,TX,Taylor Middle School,Taylor Invitational
Thomas Iversen,M,B,Single-ply,32.5,24-34,24-39,Open,64.9,67.5,,,,,,160.0,-170.0,-170.0,,160.0,,,,,,160.0,1,126.95,127.4,123.89,70.65,Yes,Norway,,NSF,IPF,30/6/2007,Norway,,Frogner,NM benkpress
Melanie Shadix,F,SBD,Raw,17.5,18-19,14-18,FR-T3,49.1,52,42.5,52.5,57.5,,57.5,37.5,45.0,-47.5,,45.0,55.0,65.0,75.0,,75.0,177.5,1,225.32,231.16,205.46,47.18,Yes,,,USAPL,IPF,5/12/2015,USA,CO,,Colorado State Championships
Hannah Barnett,F,SBD,Single-ply,15.5,16-17,14-18,F-V,80.2,84,130.0,147.5,157.5,,157.5,-87.5,87.5,-100.0,,87.5,120.0,137.5,-150.0,,137.5,382.5,13,359.96,349.51,306.47,61.3,Yes,USA,LA,USAPL,IPF,28/3/2019,USA,LA,,High School Nationals
Theodore Sung,M,SBD,Raw,52.5,50-54,50-59,MR-M,101.8,105,-157.5,-157.5,-160.0,,,107.5,115.0,-120.0,,115.0,185.0,195.0,207.5,,207.5,,DQ,,,,,Yes,USA,MA,USAPL,IPF,6/5/2017,USA,RI,,Massachusetts and Rhode Island State Championships
Brian Carroll,M,SBD,Multi-ply,30.0,24-34,24-39,Pro,124.06,125,,,,,498.95,,,,,349.27,,,,,331.12,1179.34,1,670.0,673.08,644.49,112.56,,USA,,XPC,XPC,3/3/2012,USA,OH,Columbus,Pro Powerlifting
Jessica Saenz,F,SBD,Single-ply,,16-17,,Girls,75.07,75,,,,,99.79,,,,,38.56,,,,,102.06,240.4,15,234.03,228.4,200.91,39.67,Yes,,,THSWPA,,14/1/2015,USA,TX,DONNA HIGH SCHOOL,DONNA INVITATIONAL
Matt Whalen,M,SBD,Raw,17.0,16-17,14-18,17-19,75.0,75,,,,,147.42,,,,,99.79,,,,,208.65,455.86,1,327.04,324.83,313.86,66.46,Yes,,,WNPF,,14/2/2015,USA,,,All-Raw Tournament of Champions
Teniola Adeboye,F,SBD,Raw,,,,F-C-Open,70.2,72,120.0,130.0,-137.5,,130.0,55.0,60.0,-65.0,,60.0,135.0,142.5,150.0,,150.0,340.0,3,343.28,337.58,297.56,69.78,Yes,England,,BP,IPF,31/3/2018,UK,,Moulton,British Women's University Powerlifting Championships
Emily Jondron,F,SBD,Single-ply,,,,Girls,70.67,75,,,,,86.18,,,,,45.36,,,,,102.06,233.6,6,234.98,230.88,203.47,39.67,Yes,USA,,THSWPA,,9/1/2014,USA,TX,Wylie,Ahmo Iron Invitational
James Briggs,M,B,Multi-ply,55.0,55-59,50-59,M_MEM_4_APF,89.72,90,,,,,,125.0,152.5,-167.5,,152.5,,,,,,152.5,2,98.76,97.51,93.47,51.54,,USA,,APF,WPC,31/5/2014,USA,TX,,Master Teen & Junior Nationals
Kari Suutari,M,SBD,Multi-ply,50.0,50-54,50-59,M_PFEM_AWPC,125.0,125,285.0,-310.0,310.0,,310.0,220.0,230.0,235.0,,235.0,270.0,290.0,300.0,,300.0,845.0,1,478.91,481.52,460.8,80.43,Yes,Canada,,WPC,WPC,31/7/2009,USA,IL,Burr Ridge,Amateur Worlds
Nico Van Veen,M,SBD,Single-ply,35.5,35-39,24-39,Open,108.1,110,250.0,275.0,290.0,,290.0,125.0,-145.0,145.0,,145.0,245.0,-265.0,-265.0,,245.0,680.0,1,405.43,402.37,384.4,68.61,,Netherlands,,PLH,WPF,8/3/2014,Netherlands,,Emmeloord,Open Dutch Championships
Karen Preston,F,BD,Single-ply,51.0,50-54,50-59,Masters 50-59,56.7,60,,,,,,50.0,52.5,-55.0,,52.5,110.0,115.0,120.0,,120.0,172.5,1,198.32,201.0,177.75,,,,,WRPF,WRPF,18/5/2019,England,,Derby,British International Championships
Maggie Ikehra,F,SBD,Single-ply,,,,Girls,95.8,100,,,,,120.2,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,4/2/2016,USA,TX,San Saba,January San Saba High School Meet
Oksana Guseva #2,F,SBD,Single-ply,12.5,13-15,,Sub-Juniors,49.9,52,-65.0,-65.0,65.0,,65.0,32.5,35.0,-37.5,,35.0,-77.5,-77.5,-77.5,,,,DQ,,,,,Yes,,,UkrainePF,IPF,3/11/1996,Ukraine,,Kyiv,Ukrainian Sub-Junior Powerlifting Championships
Clark Anderson,M,BD,Raw,51.0,50-54,50-59,Pro Masters 50-54,137.44,140,,,,,,,,,,142.88,,,,,276.69,419.57,1,231.14,235.12,223.78,,,,,IPA,,6/4/2019,USA,CT,New Haven,Connecticut Ironman Push/Pull Showdown
Marvin Wheeler,M,SBD,Raw,57.0,55-59,50-59,55-59,82.5,82.5,,,,,145.15,,,,,92.99,,,,,172.37,410.5,1,278.07,275.0,264.6,57.0,Yes,USA,FL,WNPF,,25/7/2020,USA,GA,Tifton,USA Powerlifting Championships
Andrey Lanovikin,M,SBD,Raw,30.5,24-34,24-39,Pro Open,108.1,110,150.0,162.5,-175.0,,162.5,77.0,82.5,87.5,,87.5,180.0,195.0,210.0,,210.0,460.0,1,274.26,272.19,260.03,56.03,,Russia,,WPC-RUS,WPC,11/2/2017,Russia,KEM,Kemerovo,Kemerovo Cup
Jeff Becker,M,SBD,Single-ply,47.5,45-49,40-49,Masters 1,82.4,83,,,,,280.0,,,,,187.5,,,,,295.0,762.5,1,516.87,511.18,491.88,88.43,Yes,Canada,ON,CPU,IPF,29/3/2011,Canada,PE,Charlottetown,Canadian Championship
Stanley Hunter,M,D,Raw,42.0,40-44,40-49,Open,109.77,110,,,,,,,,,,,230.0,242.5,-250.0,,242.5,242.5,1,143.74,142.8,136.47,,Yes,USA,NY,RAW,,19/1/2019,USA,NY,Tioga Downs,Southern Tier Classic
Kaylin Miller,F,SBD,Single-ply,,,,Girls,66.54,67.3,,,,,138.35,,,,,83.91,,,,,156.49,378.75,1,394.28,390.58,344.63,66.35,Yes,,,THSWPA,,28/1/2016,USA,TX,wboro,Whitesboro Invitational Girls Powerlifting Meet
Steven Petersen,M,B,Single-ply,43.0,40-44,40-49,Masters 40-44,99.2,100,,,,,,182.5,-192.5,-192.5,,182.5,,,,,,182.5,3,112.73,111.43,106.44,58.26,,USA,,WPF,,13/11/2009,USA,,Las Vegas,World Championships
Joey Jongen,M,SBD,Wraps,30.0,24-34,24-39,Open,98.8,100,240.0,-260.0,260.0,,260.0,185.0,192.5,200.0,,200.0,250.0,260.0,275.0,,275.0,735.0,1,454.8,449.51,429.43,93.39,,Netherlands,,BPO,WPF,21/10/2018,Wales,,Rhyl,Great Britain Championship
Dag K. Johnsen,M,SBD,Single-ply,,,,Open,90.4,93,145.0,155.0,165.0,,165.0,110.0,115.0,120.0,,120.0,140.0,155.0,170.0,,170.0,455.0,3,293.55,289.82,277.71,50.09,Yes,,,NSF,IPF,24/9/2011,Norway,,Skedsmo,Klubbstevne
Yuriy Garazha,M,B,Multi-ply,35.0,35-39,24-39,Open,96.6,100,,,,,,220.0,,,,220.0,,,,,,220.0,1,137.51,135.84,129.84,71.23,Yes,Russia,,RPU,,12/5/2018,Russia,VLG,Vologda,North-West District Championships
Justin Lovelace,M,SBD,Raw,19.5,20-23,19-23,MR-Jr,64.6,66,190.0,200.0,-207.5,,200.0,110.0,115.0,-120.0,,115.0,205.0,215.0,227.5,,227.5,542.5,1,431.95,433.64,421.81,85.53,Yes,USA,TX,USAPL,IPF,17/11/2018,USA,LA,,Abbeville Open and LA Collegiate Championships
Makel McClenton,M,B,Raw,,,,Class 2A,96.71,99.3,,,,,,,,,,149.69,,,,,,149.69,6,93.51,92.38,88.3,69.68,Yes,,,FHSAA,,13/4/2019,USA,FL,Panama City,Boys Weightlifting State Championship
Corey Stefaniak,M,SBD,Raw,21.5,20-23,19-23,Juniors,82.2,83,177.5,185.0,190.0,,190.0,-110.0,-110.0,110.0,,110.0,185.0,195.0,205.0,,205.0,505.0,5,342.79,339.04,326.28,70.25,Yes,,,APU,IPF,21/7/2018,Australia,QLD,,QLD Open
Lourdes Rodriguez,F,SBD,Single-ply,,,,Girls,59.6,60.1,,,,,79.38,,,,,43.09,,,,,97.52,219.99,10,244.9,246.54,217.85,41.02,Yes,,,THSWPA,,26/1/2019,USA,TX,Tuloso-Midway Middle School,2nd Annual Tuloso-Midway Invitatioal
Marco Redaelli,M,SBD,Single-ply,27.5,24-34,24-39,Open,104.41,105,235.0,250.0,-260.0,,250.0,-170.0,-170.0,-170.0,,,,,,,,,DQ,,,,,Yes,,,FIPL,IPF,20/4/2017,Italy,,Terni,XXXV Campionati Italiani Assoluti di Powerlifting
Kiara Trevino,F,SBD,Single-ply,,18-19,,Girls,80.29,82.3,,,,,90.72,,,,,34.02,,,,,102.06,226.8,6,213.32,207.11,181.59,36.33,Yes,,,THSWPA,,1/2/2020,USA,TX,Austin,Texas Invitational
Luca Malizia,M,B,Raw,27.5,24-34,24-39,Open,64.98,66,,,,,,90.0,95.0,100.0,,100.0,,,,,,100.0,7,79.27,79.54,77.35,57.21,Yes,,,FIPL,IPF,16/11/2018,Italy,,San Zenone al Lambro,XIX Campionato Italiano di Panca equipped e IV Campionato Italiano di Panca Classic
Stewart Ogg,M,SBD,Single-ply,21.5,20-23,19-23,U23,87.4,90,,,,,255.0,,,,,155.0,,,,,275.0,685.0,2,449.64,444.07,426.15,76.81,Yes,Scotland,,BAWLA,IPF,1/8/1999,England,,Birmingham,British Junior and Under 23 Championships
Dawn Van Den Heuvel,F,SBD,Wraps,41.0,40-44,40-49,Amateur Masters 40-44,112.7,90+,,,,,132.5,,,,,82.5,,,,,160.0,375.0,1,306.66,303.39,257.97,65.03,Yes,,,IPA,,29/10/2016,Canada,NS,Amherst,Canada Nationals
Mary Campbell,F,SBD,Raw,26.5,24-34,24-39,FR-O,68.35,72,170.0,175.0,-177.5,,175.0,90.0,92.5,95.0,,95.0,182.5,-187.5,187.5,,187.5,457.5,7,468.94,462.79,408.15,95.29,Yes,USA,NC,USAPL,IPF,16/10/2019,USA,IL,Lombard,Raw Nationals
Fraser Young,M,SBD,Single-ply,,,,M-O,89.1,90,,,,257.5,245.0,,,,,,,,,,,,DQ,,,,,Yes,Australia,,BDFPA,WDFPF,29/7/1989,UK,,Burton on Trent,Regional Power Championships
Ruslan Vovna,M,SBD,Wraps,25.5,24-34,24-39,Pro Open,109.9,110,260.0,272.5,280.0,,280.0,145.0,155.0,-165.0,,155.0,250.0,270.0,-282.5,,270.0,705.0,1,417.69,415.0,396.63,85.23,,Ukraine,,WPAU,,16/3/2018,Ukraine,,Lutsk,Ukraine Open Championships
Shane Waller,M,SBD,Raw,42.5,40-44,40-49,M_OCR_APF,87.09,90,142.88,158.76,-181.44,,158.76,-90.72,90.72,-108.86,,90.72,158.76,-174.63,174.63,,174.63,424.11,1,278.91,275.47,264.4,57.31,,USA,IN,APF,WPC,8/1/2022,USA,IN,Terre Haute,Ho Ho Haute Winter Rumble
Viviana Segura,F,SBD,Single-ply,,,,Girls,45.54,47.8,,,,,68.04,,,,,24.95,,,,,70.31,163.29,13,219.1,224.58,200.74,36.66,Yes,,,THSWPA,,1/2/2020,USA,TX,Somerset Gym,Somerset Invitational
Madisyn Betancur,F,SBD,Single-ply,,,,Girls,57.52,60.1,,,,,95.25,,,,,61.23,,,,,120.2,276.69,3,315.13,318.79,281.85,52.73,Yes,,,THSWPA,,16/1/2016,USA,TX,Anna,Anna Invitational
